Search Parameters	Year	Mo	Dy	Date	Hr	Mn	Sec	Tsu	Vol	Location Name	Latitude	Longitude	Focal Depth (km)	Mag	MMI Int	Deaths	Death Description	Missing	Missing Description	Injuries	Injuries Description	Damage ($Mil)	Damage Description	Houses Destroyed	Houses Destroyed Description	Houses Damaged	Houses Damaged Description	Total Deaths	Total Death Description	Total Missing	Total Missing Description	Total Injuries	Total Injuries Description	Total Damage ($Mil)	Total Damage Description	Total Houses Destroyed	Total Houses Destroyed Description	Total Houses Damaged	Total Houses Damaged Description
	2004	1	1	2004-01-01	20	59	31.9			"INDONESIA:  BALI, LOMBOK"	-8.31	115.788	45	5.8	6	1	1			29	1	12	3	6000	4			1	1			29	1	12	3	6000	4		
	2004	1	1	2004-01-01	23	31	50			"MEXICO:  GUERRERO, MEXICO CITY"	17.488	-101.303	29	6.1									1												1				
	2004	1	10	2004-01-10	7	43	18			SLOVAKIA:  SLOVENSKO L'UPCA	48.758	19.217	5	2.2									1												1				
	2004	1	10	2004-01-10	18	38	14.8			"ALGERIA:  NORTHERN:  ALGIERS, BOUMERDES"	36.852	3.418	10	4.4						300	3		1									300	3		1				
	2004	1	14	2004-01-14	16	58	48.1			IRAN:  SOUTHERN:  FIRUZABAD	27.695	52.397	12	5.2									1												1				
	2004	1	28	2004-01-28	22	15	30.7	2434		INDONESIA:  SERAM	-3.12	127.4	17	6.7																									
	2004	2	4	2004-02-04	11	59	47.6			PANAMA-COSTA RICA:  CHIRIQUI	8.358	-82.877	29	6.1						4	1		1									4	1		1				
	2004	2	5	2004-02-05	21	5	2.8			INDONESIA:  NABIRE	-3.615	135.538	17	7		37	1			682	3	1	2	2678	4			37	1			682	3	1	2	2678	4		
	2004	2	7	2004-02-07	2	42	35.2			INDONESIA:  NABIRE	-4.003	135.023	10	7.3									1												1				
	2004	2	11	2004-02-11	8	15	3.8	4562		"JORDAN:  MA'IN; ISRAEL:  JERUSALEM, PETAH-TIQWA"	31.675	35.551	27	5.3						4	1		2				2					4	1		2				2
	2004	2	14	2004-02-14	10	30	22.1			"PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA"	34.774	73.216	11	5.4		24	1			40	1		3	1420	4	1420	4	24	1			40	1		3	1420	4	5379	4
	2004	2	16	2004-02-16	14	44	39.9			INDONESIA:  SUMATRA:  PADANGPANJANG	-0.466	100.655	56	5.1		5	1			7	1		1					5	1			7	1					100	2
	2004	2	22	2004-02-22	6	46	27			INDONESIA:  SUMATRA:  PESISIR SELATAN	-1.559	100.488	42	6						1	1		1									1	1		1				3
	2004	2	24	2004-02-24	2	14	34			BURUNDI:  RUYAGA	-3.393	29.558	10	4.7		3	1						1	24	1			3	1						1	24	1		
	2004	2	24	2004-02-24	2	27	46.2			"MOROCCO:  AL HOCEIMA, IMZOURENE, BENI ABDALLAH"	35.142	-3.997	0	6.4	9	628	3			926	3	400	4	2539	4			628	3			926	3	400	4	2539	4		
	2004	3	1	2004-03-01	0	35	58			GREECE:  SOUTHERN:  KALAMATA	37.136	22.116	9	5.2									1				1								1				1
	2004	3	24	2004-03-24	1	53	49.4			"CHINA:  NEI MONGOL:  BAYAN UL HOT, ULIASTAI"	45.382	118.256	19	5.4						100	2	74	4	38000	4							100	2	74	4	38000	4		
	2004	3	25	2004-03-25	19	30	49			TURKEY:  ERZURUM	39.93	40.812		5.6		10	1			46	1		1	45	1	45	1	10	1			46	1		1	45	1		
	2004	3	28	2004-03-28	3	51	10			TURKEY:  ASKALE	39.847	40.874	5	5.6						12	1		1	50	1	50	1					12	1		1	50	1		
	2004	4	5	2004-04-05	21	24	4			"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN"	36.512	71.029	187	6.5		3	1			5	1							3	1			5	1						
	2004	4	9	2004-04-09	1	55	50.7			INDONESIA:  SUMATRA:  PADANG	-1.549	100.54	66	5.4									1												1				1
	2004	4	16	2004-04-16	18	32	24			INDONESIA:  BALI	-8.669	114.65	96	5.5									1				1								1				1
	2004	4	23	2004-04-23	1	50	30.2			INDONESIA:  TIMOR: KUPANG	-9.362	122.839	66	6.7									1												1				
	2004	5	1	2004-05-01	7	56	13.6			TAIWAN:  HUALIEN: TAROKO GORGE NATIONAL PARK	24.081	121.611	45	5.2		2	1			1	1		1					2	1			1	1		1				
	2004	5	3	2004-05-03	4	36	50			CHILE: CANETE	-37.695	-73.406	21	6.6	6								1												1				
	2004	5	4	2004-05-04	5	4	58.3			CHINA:  QINGHAI PROVINCE:  DELINGHA	37.506	96.758	14	5.4									3												3			3100	4
	2004	5	8	2004-05-08	4	39	25			IRAN:  KAZERUN	29.881	51.474	67	5									1	4	1	4	1								1	4	1	6	1
	2004	5	8	2004-05-08	20	11	44.2			PAKISTAN:  QUETTA	30.126	67.121	10	4.5		1	1			30	1		1					1	1			30	1		1				1
	2004	5	19	2004-05-19	21	28	10.6			PHILIPPINES:  BOHOL ISLAND:  TUBIGON	9.926	124.038	35	4.1	6								1												1				
	2004	5	28	2004-05-28	12	38	44.4			"IRAN:  MAZANDARAN, QAZVIN, TEHRAN"	36.29	51.61	17	6.3	8	35	1			400	3	165	4	3880	4		3	35	1			400	3	165	4	3880	4		3
	2004	5	30	2004-05-30	2	52	12.2			"RUSSIA:  SAKHALIN, YUZHNO, SAKHALINSK"	47.311	142.12	14	4.9									1			46	1								1			46	1
	2004	6	9	2004-06-09	11	41	16.5			SAUDI ARABIA: WESTERN	27.836	36.905	10	4.6									1												1				
	2004	6	15	2004-06-15	11	16	31.5			"CHILE: CARAHUE, IMPERIAL, TEMUCO"	-38.854	-73.155	38	5.9	6								1												1				
	2004	7	1	2004-07-01	22	30	9.3			TURKEY:  DOGUBEYAZIT	39.766	43.979	5	5.1		18	1			21	1							18	1			21	1						
	2004	7	12	2004-07-12	13	4	7.1			"SLOVENIA: BOVEC, KOBARID"	46.296	13.641	8	5.2		1	1			5	1		1		1		1	1	1			5	1		1		1		1
	2004	7	14	2004-07-14	14	36	2.5			AFGHANISTAN: HERAT	34.89	61.852		4.6									2												2			150	3
	2004	7	18	2004-07-18	4	22	22.6			"NEW ZEALAND:  NORTH ISLAND:  ROTORUA, TAURANGA"	-38	176.51	5	5.4		1	1			2	1		2			5	1	1	1			2	1		2			5	1
	2004	7	18	2004-07-18	8	31	45.8			AFGHANISTAN: PAKTIA PROVINCE	33.426	69.524	10	5.2		2	1			40	1		3		3		3	2	1			40	1		3		3		
	2004	7	30	2004-07-30	7	14	7.8			TURKEY:  DOGUBEYAZIT	39.634	43.966	5	4		1	1			5	1		1					1	1			5	1		1				2
	2004	8	4	2004-08-04	3	1	7.5			TURKEY:  BODRUM	36.833	27.815	10	5.6						15	1											15	1						
	2004	8	10	2004-08-10	10	26	14.7			CHINA:  YUNNAN PROVINCE:  LUDIAN	27.266	103.873	6	5.4		4	1			600	3	50	4	18556	4	65601	4	4	1			600	3	50	4	18556		65601	4
	2004	8	11	2004-08-11	15	48	26.8			"TURKEY:  ELAZIG, SIVRICE"	38.377	39.261	7	5.7		1	1			11	1		1					1	1			11	1		1				
	2004	9	5	2004-09-05	10	7	7.8	2436		JAPAN:  HONSHU:  W COAST: KYOTO	33.07	136.618	14	7.2						4	1		1									4	1		1				
	2004	9	5	2004-09-05	14	57	18.6	2437		"JAPAN:  HONSHU:  W COAST: KYOTO, WAKAYAMA, SAKAI"	33.184	137.071	10	7.4						40	1		1									40	1		1				
	2004	9	7	2004-09-07	11	53	6.1			ARGENTINA: CATAMARCA	-28.573	-65.84	22	6.1		1	1				2		1		2		2	1	1				2		1		2		
	2004	9	7	2004-09-07	12	15	49.7			CHINA:  GANSU PROVINCE	34.682	103.781	10	5.2						19	1		3	600	3							19	1		3	600	3		
	2004	9	21	2004-09-21	13	32	30.8			"POLAND: SUWALKI; RUSSIA: KALININGRAD, SVETLOGORSK"	54.841	19.912	10	4.8	6					3	1		1									3	1		1				
	2004	9	28	2004-09-28	17	15	24.2			"CALIFORNIA:  CENTRAL: PARKFIELD, SAN MIGUEL"	35.819	-120.364	9	6	6								1												1				
	2004	10	1	2004-10-01	8	1	1.3			"NICARAGUA:  CHINANDEGA, LEON"	11.989	-86.52	87	5.6									1												1				
	2004	10	7	2004-10-07	21	46	20.3			IRAN:  GOLESTAN	37.125	54.477	35	5.6						60	2											60	2						
	2004	10	15	2004-10-15	4	8	50.2			TAIWAN:  T'AO-YUAN	24.53	122.694	94	6.6							2		1										2		1				
	2004	10	18	2004-10-18	22	11	44.9			CHINA:  YUNNAN PROVINCE:  BAOSHAN	25.073	99.169	30	4.4						12	1		3	20000	4	20000	4					12	1		3	20000	4		
	2004	10	23	2004-10-23	8	56	0.8			JAPAN:  HONSHU:  NIIGATA PREFECTURE	37.226	138.779	16	6.6		40	1			3183	4	28000	4	6000	4			40	1			3183	4	28000	4	6000	4		
	2004	10	27	2004-10-27	1	40	50.2			JAPAN:  HONSHU:  NIIGATA PREFECTURE	37.284	138.885	14	5.9						5	1		1	1	1							5	1		1	1	1		
	2004	10	27	2004-10-27	20	34	36.8			"ROMANIA:  BUCHAREST, BRAILA; BULGARIA:  NORTHERN"	45.787	26.622	96	5.8									1												1				
	2004	11	2	2004-11-02	10	2	12.8	3012		CANADA:  VANCOUVER ISLAND	49.277	-128.772	10	6.6																									
	2004	11	4	2004-11-04	6	22	39.4			GREECE:  CRETE:  ANTIKYTHIRA	35.945	23.115	74	5.2									1												1				
	2004	11	8	2004-11-08	2	15	58.8			JAPAN:  HONSHU:  NIIGATA PREFECTURE	37.396	138.862	10	5.5						8	1		1									8	1		1				
	2004	11	11	2004-11-11	21	26	41.1	3013		INDONESIA:  KEPULAUAN ALOR	-8.152	124.868	10	7.5		34	1			400	3		3	781	3	16712	4	34	1			400	3		3	781	3	16712	4
	2004	11	15	2004-11-15	9	6	56.5			"COLOMBIA:  BAJO BAUDO, BUENAVENTURA, CERRITO"	4.695	-77.508	15	7.2						10	1		3	154	3							10	1		3	154	3		
	2004	11	19	2004-11-19	23	49	37.1			IRAN:  W	32.023	48.836	37	4.8									1												1				
	2004	11	20	2004-11-20	8	7	22			"COSTA RICA:  SAN JOSE, PARRITA, QUEPOS"	9.602	-84.172	16	6.4		8	1				2		3	526	3			8	1				2		3	526	3		
	2004	11	21	2004-11-21	11	41	7.7	2693		"GUADELOUPE:  BASSE-TERRE, LES SAINTES"	15.679	-61.706	14	6.3		1	1			12	1		2		3			1	1			12	1		2		3		
	2004	11	22	2004-11-22	4	1	30.4			"IRAN:  KHORRAMABAD, POL-E DOKHTAR"	33.297	47.977	36	5							2		1		1		1						2		1		1		
	2004	11	22	2004-11-22	20	26	23.9	5517		"NEW ZEALAND:  INVERCARGILL, SOUTHLAND, OTAGO"	-46.676	164.721	10	7.1									1												1				
	2004	11	24	2004-11-24	22	59	40			ITALY:  NORTHERN:  BRESCIA	45.626	10.559	17	5.1						9	1		2		3							9	1		2		3		
	2004	11	26	2004-11-26	2	25	3.3			INDONESIA:  NABIRE	-3.609	135.404	10	7.1	8	32	1			130	3	55	4	328	3			32	1			130	3	55	4	328	3		
	2004	11	28	2004-11-28	18	32	14.1	2921		"JAPAN:  HOKKAIDO:  BEKKAI, KUSHIRO, NEMOURO"	43.006	145.119	39	7						24	1		1				1					24	1		1				1
	2004	12	1	2004-12-01	17	42	24.7			ALGERIA:  BOUMERDAS	36.848	3.448	10	4.5						15	1		1									15	1		1				
	2004	12	2	2004-12-02	19	16	34.6			TRINIDAD:  MAYARO	10.49	-61.48	49	5.8									1												1				
